Object,Diameter (km),Volume (m3),Mass (kg),Energy at perihelion KE (J),Relative speed (m/s),Impact KE (J),Impact (GT TNT),Perihelion (AU),Perihelion (km),Velocity at perihelion (km/s),CA date,CA distance (AU)
104P/Kowal 2,1,98171875,58903125000,3.62846E+19,12.5,4.60181E+18,1.099858184,0.98,147000000,35.1,2049-Oct-31,.0761
46P/Wirtanen,1.2,169641000,101784600000,7.11861E+19,10.07,5.16073E+18,1.233443736,1.058,158700000,37.4,2018-Dec-16,.0777
Comet Teacher,0.5,12271484.38,7362890625,2.3916E+19,36,4.77115E+18,1.140332965,0,0,80.6,2032-Jan-1,0
72P/Denning-Fujikawa,1,98171875,58903125000,6.07044E+19,15.01,6.63544E+18,1.585908216,0.7842,117630000,45.4,2114-Oct-12,.1504
41P/Tuttle-Giacobini-Kresak,1.4,269383625,161630175000,1.13646E+20,13.16,1.3996E+19,3.345126534,1.048,157200000,37.5,2120-May-24,.0965
103P/Hartley 2,1.6,402112000,241267200000,1.69641E+20,11.88,1.70256E+19,4.069204292,1.05,157500000,37.5,2010-Oct-20,.1209
79P/du Toit-Hartley,2.8,2155069000,1293041400000,8.23984E+20,6.22,2.50129E+19,5.978214974,1.1233,168495000,35.7,1902-Apr-06,.2484
15P/Finlay,1.8,572538375,343523025000,2.67991E+20,12.92,2.86715E+19,6.852660359,0.976,146400000,39.5,2060-Oct-25,.0405
24P/Schaumasse,2.6,1725468875,1035281325000,6.48687E+20,7.54,2.94287E+19,7.03362808,1.2,180000000,35.4,1952-Jan-27,0.2689
67P/Churyumov-Gerasimenko,4,6283000000,3769800000000,2.20465E+21,5.34,5.37491E+19,12.84633232,1.243,186450000,34.2,1982-Nov-27,0.3910
45P/Honda-Mrkos-Pajdusakova,1.6,402112000,241267200000,3.68908E+20,24.61,7.3062E+19,17.46223546,0.5296,79440000,55.3,2011-Aug-15,.0601
21P/Giacobini-Zinner,2,785375000,471225000000,3.45618E+20,21.67,1.10641E+20,26.44383717,1.038,155700000,38.3,1946-Sep-15,0.3131
26P/Grigg-Skjellerup,2.6,1725468875,1035281325000,6.93411E+20,16.56,1.41954E+20,33.92793078,1.116,167400000,36.6,1947-Apr-12,.1592
169P/NEAT,2.3,1194457203,716674321875,9.24739E+20,21.25,1.61812E+20,38.67390637,0.605,90750000,50.8,2005-Aug-07,.1475
7P/Pons-Winnecke,5.2,13803751000,8282250600000,4.84363E+21,13.91,8.01258E+20,191.5053695,1.257,188550000,34.2,1927-Jun-26,.0394
189P/NEAT,7,33672953125,20203771875000,1.20936E+22,12.47,1.57085E+21,375.4427235,1.206,180900000,34.6,2012-Jul-09,.1720
162P/Siding Spring,6,21205125000,12723075000000,7.31074E+21,15.94,1.61636E+21,386.3198732,1.233,184950000,33.9,2031-Oct-21,.2456
8P/Tuttle,4.5,8945912109,5367547265625,4.20859E+21,31.96,2.74132E+21,655.1907346,1.027,154050000,39.6,2048-Dec-28,.1751
2P/Encke,4.8,10857024000,6514214400000,1.58688E+22,31.63,3.2586E+21,778.8229857,0.3302,49530000,69.8,1997-Jul-04,.1901
96P/Machholz 1,6.4,25735168000,15441100800000,1.08048E+23,44.05,1.4981E+22,3580.539029,0.1237,18555000,118.3,2028-Jun-16,0.3197
C/1991 L3 (Levy),11.6,153236087000,91941652200000,7.99382E+22,21.62,2.14879E+22,5135.727965,0.9825,147375000,41.7,2042-Nov-19,0.4503
1P/Halley,15,331330078125,220000000000000,3.26728E+23,70.56,5.47658E+23,130893.522,0.586,87900000,54.5,1910-May-20,.1514
109P/Swift Tuttle,26,1725468875000,1.03528E+15,9.39394E+23,60,1.86351E+24,445388.7153,0.9333333333,140000000,42.6,2126-Feb-06,0.1604
